"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 3:32:41 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:32:54 PM UTC+2","10","9","9","9","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/11 3:33:00 PM UTC+2","5","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 3:33:13 PM UTC+2","6","10","10","8","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:33:27 PM UTC+2","3","5","7","8","Informatique (ISTIC)","L3"
"2019/01/11 3:34:33 PM UTC+2","10","10","10","10","Université de Nantes","Doctorat"
"2019/01/11 3:34:43 PM UTC+2","4","4","5","5","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:34:44 PM UTC+2","10","10","10","10","ENS Rennes","M2"
"2019/01/11 3:35:14 PM UTC+2","10","10","10","10","OSUR","L3"
"2019/01/11 3:35:34 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:35:57 PM UTC+2","9","9","9","9","Istic électronique.... Très souvent oublié","L3"
"2019/01/11 3:36:49 PM UTC+2","7","7","8","8","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:37:04 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:37:23 PM UTC+2","9","10","10","9","Mathématiques","L1"
"2019/01/11 3:37:33 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:37:35 PM UTC+2","7","10","10","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:37:52 PM UTC+2","3","6","8","6","Informatique (ISTIC)","M2"
"2019/01/11 3:37:57 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:38:03 PM UTC+2","9","10","10","9","Informatique (ISTIC)","L1"
"2019/01/11 3:38:14 PM UTC+2","10","10","10","10","Mathématiques","M1"
"2019/01/11 3:40:06 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:40:42 PM UTC+2","10","10","10","5","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/11 3:41:08 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:42:23 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L2"
"2019/01/11 3:42:42 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:42:49 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:43:19 PM UTC+2","3","4","6","6","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:43:25 PM UTC+2","9","10","10","9","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/11 3:43:38 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:43:40 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 3:44:14 PM UTC+2","6","8","9","9","Mathématiques","L3"
"2019/01/11 3:44:41 PM UTC+2","6","8","8","5","Informatique (ISTIC)","L2"
"2019/01/11 3:44:47 PM UTC+2","10","10","10","10","ENS Rennes","M1"
"2019/01/11 3:45:37 PM UTC+2","9","9","8","8","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L2"
"2019/01/11 3:45:55 PM UTC+2","2","4","4","4","Mathématiques","L2"
"2019/01/11 3:46:01 PM UTC+2","8","9","9","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:46:31 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:46:57 PM UTC+2","8","10","10","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:46:58 PM UTC+2","5","9","9","6","Informatique (ISTIC)","L3"
"2019/01/11 3:47:14 PM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:47:35 PM UTC+2","5","8","8","8","Informatique (ISTIC)","M2"
"2019/01/11 3:48:20 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:48:25 PM UTC+2","1","1","1","1","Philosophie","M2"
"2019/01/11 3:48:35 PM UTC+2","5","10","10","10","Mathématiques","L2"
"2019/01/11 3:48:35 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/11 3:49:02 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:49:20 PM UTC+2","5","8","10","10","Informatique (ISTIC)","L2"
"2019/01/11 3:49:26 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:49:29 PM UTC+2","10","10","10","10","Mathématiques","M2"
"2019/01/11 3:49:41 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:49:41 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 3:50:08 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:50:25 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:51:00 PM UTC+2","3","8","8","5","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:51:37 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:51:44 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:52:10 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:52:42 PM UTC+2","8","9","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:52:50 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:52:57 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:53:11 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 3:53:24 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:54:42 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:54:52 PM UTC+2","9","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:56:08 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:56:25 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:57:08 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:58:38 PM UTC+2","5","8","9","5","Informatique (ISTIC)","M2"
"2019/01/11 3:59:06 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:59:52 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 4:00:58 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 4:01:14 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/11 4:01:39 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
